tube;tuba
ability;schopnost
able;schopný
above;nahoře
abroad;zahraničí
absolutely;naprosto
accent;přízvuk
accept;přijmout
account;konto
achieve;dosáhnout
across;napříčtube
act;čin
action;činnost
actually;skutečnosti
adapted;přizpůsobený
addict;narkoman
adjective;přídavné jméno
admire;obdivovat
admit;vpustit
advance;postup
adventure;dobrodružství
adverb;příslovce
advertisement;reklama
adviser;poradce
aerobics;aerobik
afraid;polekaný
African;Afričan
afterwards;později
aged;letitý
agency;agentura
aggressive;agresivní
air conditioning;klimatizace
airline;letecký
album;album
alien;cizinec
already;už
alright;dobře
altogether;dohromady
amazing;úžasný
ambition;ctižádost
ambitious;ambiciózní
amount;částka
animal rights;práva zvířat
announcer;hlasatel
annoyed;rozmrzelý
annoying;protivný
anyway;stejně
anywhere;někde
apartment block;činžovní dům
apologise;omluvit se
apology;omluva
apparently;zřejmě
appear;jevit se
application;přihláška
apply;aplikovat
Arab;arabský
Arabia;Arábie
area;území
argue;diskutovat
argument;argument
arrangement;uspořádání
arrest;zatknout
art;umění
artist;umělec
ask someone out;ptát se koho na co
asleep;spící
assist;asistovat
association;sdružení
attack;napadnout
attention;pozornost
attitude;postoj
auction;aukce
audience;obecenstvo
author;autor
auxiliary;pomocný
average;průměr
award;cena
babysitting;hlídání dětí
bacteria;bakterie
bagpipes;dudy
ball;míč
ballet;balet
bar;kousek
bark;kůra
basic;základní
basically;v podstatě
basketball;basketbal
be fed up with;mít po krk koho/čeho
beat;úder
Beatles;Beatles
beauty;krása
beauty spot;znaménko krásy
behave;chovat se
behavior;chování
believe;věřit
bell;zvon
below;pod
billion;bilion
biology;biologie
bit;kousek
bland;bez chuti
blind;slepý
blow;úder
blues;blues
book;kniha
bored;unuděný
borrow;půjčit si
bow;příď
boy;chlapec
branch;větev
bravery;statečnost
break into;vloupat se
break up with;rozejít se s
bright;jasný
brilliant;zářivý
brown;hnědý
build;postava
building;budova
bullet;kulka
burglar;lupič
burglary;vloupání
burgle;vloupat se
businessman;obchodník
button;knoflík
cable TV;kabelová televize
cake;dort
calm;tichý
camper;táborník
camping;táboření
cancel;odvolat
care;starost
career;profese
carry;nést
cash;peněžní hotovost
castle;hrad
catch;chytit
category;kategorie
catering;zajišťování stravy
cause;příčina
celebrity;známá osobnost
cent;cent
central heating;ústřední topení
central heating;ústřední topení
certain;jistý
certificate;osvědčení
chain;řetěz
chairman;předseda
chance;šťastná náhoda
changeable;proměnlivý
charity;dobročinnost
chat;povídat si
cheek;tvář
Cheers!;Na zdraví!
chef;šéfkuchař
chew;žvýkat
chewing gum;žvýkačka
chicken;kuře
childhood;dětství
Christmas;Vánoce
circle;kruh
circular;kruhový
circus;cirkus
clash;spor
classmate;spolužák
clause;věta
clever;chytrý
client;klient
close friend;blízký přítel
clothing;šaty
coast;pobřeží
colleague;spolupracovník
collect;sbírat
collection;sbírka
collector;výběrčí
college;vysoká škola
collocation;slovní spojení
column;sloup
comfortable;komfortní
common;společný
commute;dojíždět
commuter;dojíždějící
comparative;srovnávací
comparison;srovnání
complain;stěžovat si
complaint;stížnost
completely;kompletně
complicated;složitý
conditional;podmínkový
conference;konference
confident;sebejistý
connect;spojovat
connection;spojení
consequence;následek
considerate;ohleduplný
consonant;souhláska
contact;kontakt
contain;obsahovat
context;souvislost
control;řídit
cooking;vaření
corner;roh
cosmopolitan;kosmopolitní
cotton;bavlna
could;mohl/a
countable;počitatelný
crazy;šílený
cream;smetana
create;tvořit
crime;trestný čin
criminal;zločinec
crop;plodina
cross;kříž
cruel;krutý
cruelty;krutost
cultural;kulturní
culture;kultura
cupboard;skříň
currency;měna
current affairs;aktuální události
curtain;záclona
customer;zákazník
cut;řezat
cutting;výstřižek
CV;životopis
cycling;jízda na kole
damage;škoda
dating;chodit na schůzky
daughter-in-law;snacha
dawn;svítání
day-to-day;každodenní
dead;mrtvý
death;smrt
decision;rozhodnutí
definite;jasný
definitely;určitě
definition;definice
delicious;lahodný
deliver;odvézt
demonstrator;demonstrant
department store;obchodní dům
depend;záležet
describe;popsat
description;popis
desert;poušť
design;návrhářství
designer;návrhář
dessert;zákusek
destination;cíl cesty
detail;podrobnost
develop;rozvíjet se
differently;jinak
digit;číslice
direct;přímý
director;ředitel
disagree;nesouhlasit
disco;diskotéka
discover;objevit
discussion;diskuze
disgusting;ohavný
dishonest;nepoctivý
disorganised;dezorganizovaný
distance;vzdálenost
dive;skok op hlavě do vody
diver;potápěč
divorce;rozvod
documentary;písemný
dollar;dolar
dolphin;delfín
domestic;domácí
doorway;vchod
dot;tečka
draw;kreslit
drop;kapka
drum;buben
during;během
dye;barva
earn;vydělávat
earth;Země
easily;jednoduše
easy-going;mírný
echo;ozvěna
Edinburgh;Edinburgh
edition;vydání
editor;vydavatel
educate;vzdělávat
education;výchova
Egypt;Egypt
either;jeden nebo druhý
elderly;postarší
embarrassed;rozpačitý
embarrassing;trapný
employee;zaměstnanec
employer;zaměstnavatel
employment;zaměstnání
enemy;nepřítel
energy;energie
engaged;zaneprázdněný
engineering;strojírenství
enormous;obrovský
enough;dost
entertainment;zábava
environment;prostředí
episode;epizoda
equipment;výstroj
escape;utéci
especially;zvláště
etc.;a tak dále
Euro;Euro
Europe;Evropa
European;evropský
even;dokonce
event;událost
everybody;každý
everyone;každý
everything;všechno
everywhere;kdekoliv
evil;zlý
ex-;(předpona)
exact;přesný
exactly;přesně
examination;zkouška
examine;zkoušet
examiner;zkoušející
except;kromě
excite;rozrušit
excited;rozrušený
excitement;vzrušení
exclusive;exkluzivní
expected;očekávaný
expert;odborník
explain;vysvětlit
expression;výraz
extra;zvlášť
extremely;nesmírně
eye;oko
face;tvář
facility;dovednost
fact;fakt
factory;závod
fall in love with someone;zamilovat se
fan;fanoušek
fancy;představivost
farm;farma
farmer;zemědělec
fascinating;úchvatný
fashion;móda
fashionable;módní
father-in-law;tchán
fault;nedopatření
feed;krmit
feeling;cit
feet;nohy
fence;plot
festival;svátek
few;málo
field;pole
film-maker;producent
final;poslední
finally;konečně
fire;oheň
fireman;hasič
firstly;prvé
flatmate;spolubydlící
flexible;ohebný
flower;květ
folk;folkový
follow-up;zabývat se
food poisoning;otrava potravinami
for ages;navěky
force;síla
forever;navždy
formal;formální
forward;čelní
freezing;mrazivý
frequency;frekvence
fresh;čerstvý
fries;hranolky
frightened;vystrašený
frightening;děsivý
frozen;zmrzlý
frustrating;frustrující
full;plný
full-time;řádný
fully;plně
funeral;pohřeb
furthest;nejvzdálenější
Gaelic;gaelský
gallery;galerie
gap;mezera
gas;plyn
gene;gen
general;generál
generally;všeobecně
get engaged;zasnoubit se
get lost;ztratit se
get married;oženit se
get on with;vycházet s někým
get promoted;být povýšen
get/be   stuck;uváznout
glad;potěšený
glasses;brýle
glove;rukavice
go on;pokračovat
go out with;vyjít si s
goal;gól
golf;golf
gorgeous;úžasný
gossip;pomluvy
government;vláda
grammar;mluvnice
great-uncle;prastrýc
greedy;nestřídmý
greeting;pozdrav
ground;zem
group;skupina
grow;růst
guest;host
guide;vedoucí
guilty;vinen
guitarist;kytarista
gun;pistole
gunman;ozbrojený gangster
guy;chlápek
habit;zvyk
haggis;tlačenka
haircut;ostřihání vlasů
hairdresser;kadeřník
handcuffs;pouta
happier;spokojenější
happily;šťastně
happiness;štěstí
hate;nenávidět
head;hlava
heavy;těžký
helpful;nápomocný
hero;hrdina
hers;její
herself;se
hey;zvolání
hide;schovat
history;historie
hit;uhodit
Holland;Holandsko
Hollywood;Hollywood
honest;čestný
horrible;děsivý
horror;děs
hospital;nemocnice
host;hostitel
hostess;konferenciérka
houseboat;hausbót
housework;práce v domácnosti
human;člověk
Hungary;Maďarsko
hungry;hladový
hurry;spěchat
hypnotise;hypnotizovat
ice cream;zmrzlina
idiot;idiot
illustrate;ilustrovat
imaginary;pomyslný
imagine;představit si
immature;nevyspělý
immediately;okamžitě
impatient;netrpělivý
impolite;nezdvořilý
impossible;nemožný
improve;zlepšit
inconsiderate;bezohledný
incredible;neuvěřitelný
Indian;indický
industrial;průmyslový
industry;průmysl
infinitive;infinitiv
ingredient;složka
injured;zraněný
insect;hmyz
inside;vnitřek
inspector;inspektor
instant;chvilka
instantly;okamžitě
instead;namísto
instructor;učitel
interested;zajímat se o co
interestingly;zajímavé je
Internet;internet
interviewer;reportér
into;do
intonation;intonace
invent;vymyslet
invention;vynález
invitation;pozvání
invite;pozvat
irregular;nepravidelný
itself;se
job security;záruka práce
job-hunting;hledání práce
jogging;běh pro zdraví
join;spojit
journalist;novinář
judo;džudo
jump;skočit
just;spravedlivý
kangaroo;klokan
kangaroo pouch;klokaní vak
karaoke;karaoke
keep;udržet si
key;klíč
kilt;skotská suknice
king;král
kingdom;království
kiss;polibek
knee;koleno
knife;nůž
knowledge;vědomí
label;popiska
laboratory;laboratoř
lady;paní
large;velký
leader;vůdce
leak;prasklina
learn;učit se
least;nejmenší
leather;kůže
lemon;citron
lend;půjčit
library;knihovna
licence;povolení
life;život
lift;zvednout
limited;omezený
line;čára
link;článek
liquid;kapalina
listener;posluchač
literal;doslovný
little;malý
local;místní
London;Londýn
lonely;osamělý
loud;hlučný
lovely;milý
lover;milenec
luck;štěstí
luckily;naštěstí
lunchtime;doba oběda
machine;stroj
magic;kouzelný
magician;mág
main;hlavní
major;hlavní
make-up;vymyslet
manage;řídit
manufacture;vyrábět
marriage;manželství
Mars;Mars
mature;dospělý
may;moci
meaning;význam
medal;medaile
medical;zdravotní
medium;střední
member;člen
men;muži
method;způsob
metre;metr
middle-aged;ve středních letech
mile;míle
milk shake;mléčný koktejl
mind;rozum
mine;můj
mining;těžba
ministry;ministerstvo
monitor;monitor
monkey;opice
moody;náladový
moon;měsíc
mosque;mešita
mostly;hlavně
move in;nastěhovat se
movie;film
Mrs;zkr. paní
Ms;zkr. paní
much;moc
multiply;mnohonásobný
murder;vražda
murderer;vrah
mystery;tajemství
naked;nahý
national;státní
natural;přírodní
nearby;nedaleko
nearly;málem
necessarily;nutně
negative;záporný
neighbour;soused
neighbourhood;sousedství
neither;ani
nephew;synovec
nervous;nervový
New Zealand;Nový Zéland
news;novinky
niece;neteř
nightmare;zlý sen
no one;nikdo
nobody;nikdo
noise;kravál
normally;normálně
north;sever
nose;nos
nothing;nic
noun;podstatné jméno
novel;román
nowadays;nyní
nowhere;nikde
object;věc
obviously;zřejmě
occasion;příležitost
occasionally;příležitostně
odd;podivný
official;oficiální
olive oil;olivový olej
onstage;na jevišti
opal;opál
opinion;názor
opportunity;šance
oral;ústní
orchestra;orchestr
order;pořadí
ordinary;obvyklý
organisation;organizace
organise;zařídit
organism;organismus
original;původní
originally;původně
ours;naše
overnight;přes noc
oversleep;zaspat
owe;dlužit
owner;vlastník
oxygen;kyslík
package;balíček
packet;krabička
paint;barva
painting;malování
palace;palác
parachute;padák
Paris;Paříž
participle;příčestí
particle;částice
particular;konkrétní
passive;pasivní
past;minulost
patient;pacient
pattern;vzor
peaceful;klidný
per;na
perfume;vůně
perhaps;možná
period;doba
Persia;Persie
pet;domácí mazlíček
photograph;fotografie
piano;piáno
pile;hromada
pillar;pilíř
pink;růžový
pipe;roura
